,PIN Code,LAT,LONG
0,400009,18.95891808681319,72.83779268021978
1,400010,19.093321294736842,73.16722081578948
2,400012,19.079177763636363,72.92340979090909
3,400014,19.018315980350877,72.85053392982456
4,400016,19.036164843396225,72.84255710566038
5,400018,19.001194129850745,72.82032389850747
6,400019,19.024259823595507,72.8552032764045
7,400020,18.94270663888889,72.827015225
8,400021,18.926661955172413,72.82254038965517
9,400025,19.01466222692308,72.82871611538461
10,400027,18.978315678947368,72.83566576315789
11,400028,19.01830619411765,72.83649832745098
12,400003,18.955696444594594,72.83284686351352
13,400013,19.004613555000002,72.82819212999999
14,400017,19.04470028125,72.8561284625
15,400026,18.971149454054054,72.8082530027027
16,400030,19.007017335714288,72.81857665714286
17,400031,19.01665294642857,72.8558377
18,400034,19.024802204651163,72.96173378837209
19,400037,19.023616127777778,72.86671553888888
20,410218,19.03308285,73.09910888888888
21,400606,19.206885814583334,72.96666280208333
22,400607,19.243646765333335,73.000336784
23,400608,19.21794157777778,72.99252138888889
24,400610,19.239570682608697,72.96918722463768
25,400615,19.257924595238094,72.97063274761905
26,400614,19.02815642653061,73.03552848163265
27,400703,19.076855303846152,73.00234193846154
28,400704,18.9086,72.9299
29,400706,19.022800157142857,73.01611226218488
30,410208,19.06653191875,73.11559305625
31,410210,19.047611373214288,73.06997429464285
32,410220,18.3667,72.9333
33,410221,18.9658826625,73.12909975
34,400708,19.16977857682449,73.00467458127447
35,410216,19.0498,73.0702
36,400601,19.20635460335821,72.97471852574627
37,400602,19.19672828472222,72.96601132638888
38,400603,19.1947544875,72.992379425
39,400604,19.192435708333335,72.95457850833334
40,400701,19.122943053333334,73.00284606
41,400705,19.067855458333334,73.0093240125
42,400709,19.101347624000002,73.004009168
43,400710,19.1084751,73.02077386666666
44,421312,19.5648672875,73.0880141625
45,402101,18.9742,73.7698
46,402102,18.09632445,73.34735355
47,402103,18.148788342857145,73.29428062857143
48,402105,18.18132537142857,73.12232445714285
49,402112,18.3542,73.2313
50,402113,18.0671238,73.01177535
51,402114,18.6704,73.3790999
52,402115,18.6704,73.3790999
53,402120,18.3194137,73.30095615
54,402122,19.9808,77.6997
55,402125,19.9808,77.6997
56,402203,18.5672058,72.93167845
57,402204,18.6318643,72.8911997
58,402207,18.8037,72.8873
59,402208,18.7404,72.8790999
60,402209,18.7640525,72.9447097
61,402303,17.981489558333333,73.46857334166667
62,402305,18.2346586,73.4180207
63,402306,18.13229,73.5713297
64,402307,17.958486625,73.401868
65,402309,18.3923,74.1545
66,402402,18.2628,72.9712
67,402403,18.1709099,73.00450175
68,402404,18.1733,72.9917
69,410102,18.9650035,73.26168566666666
70,415213,18.5574,74.4986
71,401603,19.94182968,73.1941826
72,401604,19.882803375,73.358439475
73,401607,19.9085527,72.95350445
74,401702,20.084574,72.728363
75,401703,20.1002,72.7339
76,400032,18.9275338,72.82911355
77,400035,19.03983945,72.80966085
78,400011,18.99854232,72.84847002666666
79,400033,18.99475148888889,72.84673223333334
80,400015,18.99985775,72.8517026375
81,400001,19.042699634351145,72.87096986717556
82,400002,18.954429913043477,72.83360579565218
83,400004,18.96214115810811,72.82653863513514
84,400005,18.916422212195123,72.82179659349593
85,400006,18.952796840625,72.79907387395833
86,400007,19.014570752857143,72.93996562857143
87,400079,19.0959008125,72.91730345
88,400070,19.079749353012048,72.8829971192771
89,400008,18.9641708869863,72.83002431986301
90,400077,19.07894196081081,72.90624543648649
91,400042,19.134411359999998,72.93729533
92,400089,19.05999058115942,72.89945997246376
93,400081,19.171666503125,72.9614645328125
94,400080,19.175573694375,72.95121392749999
95,400078,19.148846937142856,72.93548055428572
96,400082,19.172907966666667,72.9349121
97,400083,19.114705219999998,72.932251365
98,410614,26.4637073,80.2467187
99,400084,19.10888464,72.91456594
100,400076,19.122005830065362,72.91286845816994
101,400087,19.1352428,72.9005482
102,400086,19.087472877419355,72.90351260483871
103,400022,19.044907538333334,72.86738730333333
104,400702,18.87954308,72.945251085
105,400707,18.901209,72.975395
106,402104,18.232476966666667,73.45024306666666
107,402106,18.5344459,73.15120816
108,402107,18.737644823076923,73.0976189
109,402401,18.309804983333333,72.98664701666667
110,410202,18.8277073,73.281854125
111,410204,19.6035,74.1322
112,410205,18.560582783333334,73.23287813333334
113,410206,18.994063955555553,73.11500349298245
114,410207,18.855367,73.128503
115,410209,19.27173099354839,73.18267823225807
116,410222,18.8967687,73.18922378333333
117,402108,18.6594385,73.01892
118,402109,18.437113385,73.115559705
119,402110,18.0512884,73.0268105
120,402111,18.289531,73.139319
121,402117,18.6704,73.3790999
122,402201,18.656983974074073,72.88053045925926
123,402202,18.584832933333335,72.91031336666666
124,402301,18.082550817647057,73.41969197058823
125,402302,18.1019149,73.5000289
126,400036,18.964046642857145,72.80670802142858
127,396409,20.6813614,73.1740261
128,396412,20.811074,72.839149
129,396406,20.8605924,72.9065089
130,396415,21.018104025,72.950399475
131,396421,20.949,72.8983
132,396424,20.95357,72.959833
133,396427,20.95793055,72.9753614
134,396418,20.997726,73.01367805
135,396433,20.919599,73.0070159
136,396436,21.029381483333335,72.8472595
137,396439,20.890392166666665,72.81667333333334
138,396430,20.866113533333333,73.08350996666667
139,396440,20.9904,72.8927
140,396445,20.94691311948052,72.92954746753247
141,396450,20.927344,72.90736
142,396460,20.8041012,72.8609415
143,396463,20.927918233333333,72.9858277
144,396466,20.915740166666666,73.06880286666666
145,396469,20.9579506,73.05439235
146,396472,20.88027465,72.9177018
147,396475,21.0279754,72.9694694
148,396360,20.82271820178571,72.99607114821428
